,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,roll,pitch,yaw,x,y,z
13,1,52.51,396.164,0.857870999999999,1101.56,441.313,0.728258,1076.05,431.446,0.657793,1074.05,515.742,0.318494,1030.99,507.846,0.266996,1121.13,447.237,0.806558,1119.21,547.069,0.849900999999999,1036.86,521.627,0.8268800000000001,1087.78,613.713,0.44043000000000004,1105.49,715.618,0.428062,0.0,0.0,0.0,1089.75,615.666,0.628304,1038.84,715.62,0.5125700000000001,0.0,0.0,0.0,1046.69,382.491,0.784241,1062.35,382.596,0.861105999999999,0.0,0.0,0.0,1103.41,384.407,0.876688999999999,-0.17937245619003214,0.028921601757678026,1.194429280144459,0.6988834872317126,1.0515364274846668,1.5908397168572412
14,1,954.606,388.438,0.867225999999999,1007.43,429.532,0.792057,980.051,423.66,0.734120999999999,974.166,492.261,0.421049,935.005,494.159,0.587958,1027.05,435.43,0.772551,1032.94,535.295,0.80134,950.745,507.986,0.869831999999999,966.341,599.939,0.6389100000000001,942.848,697.97,0.614387,0.0,0.0,0.0,1007.52,605.914,0.658812,978.083,715.615,0.457429,0.0,0.0,0.0,950.699,380.498,0.409433,964.312,380.599,0.935496999999999,0.0,0.0,0.0,997.768,370.781,0.8409800000000001,-0.17937245619003214,0.028921601757678026,1.194429280144459,0.6988834872317126,1.0515364274846668,1.5908397168572412
15,1,884.121,386.436,0.962835,936.978,421.731,0.730580999999999,915.4,411.942,0.680006999999999,899.793,474.587,0.547638,864.476,488.313,0.671682999999999,958.529,433.498,0.747616,964.455,525.64,0.8799100000000001,887.969,509.808,0.947496999999999,899.67,588.289,0.68176,880.128,688.139,0.35719,0.0,0.0,0.0,940.848,601.957,0.669281999999999,946.752,715.593,0.569584,0.0,0.0,0.0,883.959,378.556,0.433625999999999,891.895,378.632,0.851389,0.0,0.0,0.0,923.217,370.826,0.786607,0.0735662568378332,0.03482370821396826,1.016860162973503,0.9649688431392975,0.6464574565949026,1.583418605486759
16,1,836.959,386.488,0.906261,887.965,421.687,0.731514999999999,868.322,415.768,0.659328,860.589,482.446,0.291557,829.191,484.442,0.330140999999999,905.667,429.618,0.791783,907.568,523.608,0.837885,837.04,498.142,0.862811,850.775,588.187,0.59469,831.191,682.308,0.213258,0.0,0.0,0.0,884.124,599.964,0.648749,872.322,697.899,0.329221,0.0,0.0,0.0,836.931,374.692,0.104847,839.018,378.645,0.890871,0.0,0.0,0.0,870.398,368.879,0.882902,0.0735662568378332,0.03482370821396826,1.016860162973503,0.9649688431392975,0.6464574565949026,1.583418605486759
17,1,817.449,390.374,0.862182,870.437,415.852,0.707737,854.743,406.047,0.551943,852.662,478.522,0.392497999999999,815.521,480.502,0.514915999999999,886.032,429.609,0.843627,897.707,523.483,0.853347,823.289,500.108,0.851642,835.028,582.335,0.540057999999999,803.692,668.575,0.124009,0.0,0.0,0.0,866.451,592.162,0.634004999999999,837.052,692.068,0.240824999999999,0.0,0.0,0.0,811.568,378.638,0.0921282,821.387,382.446,0.947642,0.0,0.0,0.0,852.673,368.913,0.882238,0.17287744463193871,-0.012976565283340505,1.0570291230752444,1.058402968718016,0.5421286172562062,1.5761856660124385
18,1,809.637,392.322,0.83042,866.409,417.823,0.739047,839.016,411.907,0.671926999999999,842.893,476.573,0.337767,813.531,478.558,0.536177999999999,886.001,431.441,0.833855999999999,895.813,523.507,0.846183999999999,821.446,502.025,0.868781999999999,835.079,582.385,0.553165,807.624,672.479,0.102066999999999,0.0,0.0,0.0,868.338,594.09,0.635236999999999,842.904,694.048,0.241283,0.0,0.0,0.0,0.0,0.0,0.0,815.509,382.504,0.827052999999999,0.0,0.0,0.0,839.083,370.781,0.80725,0.17287744463193871,-0.012976565283340505,1.0570291230752444,1.058402968718016,0.5421286172562062,1.5761856660124385
19,2,813.546,392.306,0.833517,868.426,421.69,0.707847999999999,850.747,413.881,0.591595,848.792,478.571,0.437476,819.358,478.473,0.703492999999999,886.001,431.454,0.835047,897.805,523.486,0.864427,823.367,505.986,0.908262999999999,838.952,586.312,0.563975,815.517,682.252,0.122368999999999,0.0,0.0,0.0,870.366,598.029,0.633355999999999,856.677,697.955,0.244971,0.0,0.0,0.0,809.662,380.576,0.0755954,821.279,382.479,0.896844,0.0,0.0,0.0,844.913,372.748,0.732715,0.17287744463193871,-0.012976565283340505,1.0570291230752444,1.058402968718016,0.5421286172562062,1.5761856660124385
20,2,821.314,396.235,0.92571,874.278,415.814,0.719102,856.652,406.032,0.545719,850.748,478.522,0.301087999999999,819.452,478.578,0.865147999999999,888.043,429.546,0.797468,882.052,525.495,0.874748,807.606,568.587,0.841816,842.898,588.249,0.468788999999999,809.622,684.261,0.0731428,0.0,0.0,0.0,870.329,601.944,0.659611,852.696,715.603,0.217716,0.0,0.0,0.0,817.449,384.45,0.130712,823.33,384.42,0.959137999999999,0.0,0.0,0.0,852.766,368.898,0.870035999999999,0.2014142651808102,-0.09756468754783947,1.2256712367804254,1.1303860284676612,0.5985714385616241,1.5692078413614456
21,2,821.324,400.185,0.902262999999999,883.984,419.747,0.641558,872.317,409.926,0.505128,856.666,490.284,0.207410999999999,823.271,478.614,0.7940100000000001,886.103,433.487,0.763471999999999,866.457,525.579,0.840401,801.733,576.522,0.794493999999999,842.933,590.233,0.473097,809.637,684.273,0.0584798,0.0,0.0,0.0,870.357,603.88,0.6435000000000001,850.769,715.607,0.190123,0.0,0.0,0.0,819.324,386.477,0.109943,823.371,388.45,0.834252999999999,0.0,0.0,0.0,854.632,382.518,0.882645999999999,0.2014142651808102,-0.09756468754783947,1.2256712367804254,1.1303860284676612,0.5985714385616241,1.5692078413614456
22,0,819.387,402.085,0.913798,878.189,423.69,0.626464999999999,870.308,411.873,0.519651,854.633,486.346,0.231228,821.418,480.488,0.825966,884.108,439.333,0.783303,866.463,529.463,0.832098,793.919,572.605,0.891199,840.96,594.118,0.475236,0.0,0.0,0.0,0.0,0.0,0.0,870.372,605.916,0.616327,850.742,715.617,0.174628,0.0,0.0,0.0,813.538,388.433,0.115286,821.44,392.305,0.895977999999999,0.0,0.0,0.0,854.608,380.587,0.855216,0.2777985350019691,-0.010282345251639192,1.0151533677155735,1.1548339188616834,0.5974395948776928,1.5611491575146117
