,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,roll,pitch,yaw,x,y,z
6,1,58.43,349.2,0.9204300000000001,1136.83,402.105,0.723306,1113.28,400.131,0.627782,1097.6,490.275,0.393528999999999,1038.8,474.639,0.805883,1164.22,404.055,0.693481999999999,1152.53,527.477,0.656285,1044.71,527.499,0.703083,1097.6,611.767,0.369797,1054.49,715.632,0.159994,0.0,0.0,0.0,1119.18,617.65,0.49168199999999906,1058.4,715.638,0.218868999999999,0.0,0.0,0.0,0.0,0.0,0.0,1062.33,333.516,0.850451,0.0,0.0,0.0,1105.38,321.806,0.929589,0.2892781937095861,0.01167467176312439,0.5155004014179796,0.8103924951727229,1.0672173155290121,1.7300947447501789
7,1,901.7,341.384,0.910296999999999,966.352,388.396,0.623815999999999,958.512,382.593,0.545134,940.881,456.979,0.250434,886.117,460.842,0.891042,974.181,396.243,0.720278,968.315,507.864,0.768146999999999,872.344,519.679,0.746665999999999,933.045,590.186,0.386637,936.954,715.618,0.182537999999999,0.0,0.0,0.0,948.752,598.022,0.555034,946.754,715.623,0.369923,0.0,0.0,0.0,0.0,0.0,0.0,905.601,327.642,0.850783,0.0,0.0,0.0,946.67,319.884,0.95201,0.29426332148366857,-0.016456032145857735,1.0540174741040658,0.9567293720688697,0.5402859099997972,1.728893915802019
8,1,823.428,337.493,0.929097,885.952,382.532,0.832608999999999,854.658,374.695,0.761439,848.768,447.245,0.42892,801.75,460.847,0.735953,915.388,384.551,0.745934,919.376,478.531,0.807844,831.146,507.953,0.849530999999999,844.919,554.963,0.5267900000000001,823.301,656.799,0.196302999999999,0.0,0.0,0.0,878.2,566.657,0.54828,842.92,674.441,0.285814,0.0,0.0,0.0,821.409,323.826,0.385893999999999,835.056,323.774,0.892365,0.0,0.0,0.0,870.289,317.829,0.913885,0.29426332148366857,-0.016456032145857735,1.0540174741040658,0.9567293720688697,0.5402859099997972,1.728893915802019
9,1,793.926,341.377,0.886438,840.997,384.553,0.820344,794.024,384.563,0.803847,792.075,456.999,0.559306,760.614,466.782,0.772081,886.114,384.577,0.721492999999999,901.686,482.45,0.768851,823.345,517.714,0.810636999999999,792.008,558.836,0.559211999999999,760.688,670.526,0.136167999999999,0.0,0.0,0.0,852.674,572.604,0.586675,819.371,684.27,0.233272999999999,0.0,0.0,0.0,790.081,333.498,0.553113,805.591,331.54,0.867626,0.0,0.0,0.0,837.121,321.707,0.946168,0.3640348897753888,-0.1359187598672173,1.7665112333032928,1.0515150773545936,0.36710208092248947,1.71521807395996
10,2,760.708,339.488,0.898756,786.119,382.428,0.831318999999999,729.273,384.484,0.871463999999999,709.697,445.174,0.826512999999999,727.245,466.776,0.887054,839.07,372.779,0.802681,868.352,439.369,0.7698900000000001,852.787,488.327,0.773515,750.831,533.354,0.606394,746.966,637.229,0.341246,0.0,0.0,0.0,821.333,533.37,0.632819,811.557,639.176,0.322654999999999,0.0,0.0,0.0,750.823,331.62,0.803341,772.415,325.768,0.877805,0.0,0.0,0.0,794.007,315.881,0.850360999999999,0.3640348897753888,-0.1359187598672173,1.7665112333032928,1.0515150773545936,0.36710208092248947,1.71521807395996
11,2,764.583,343.318,0.8789800000000001,776.329,380.587,0.904046999999999,725.361,384.429,0.833500999999999,698.024,447.139,0.874362,725.349,470.67,0.838173,833.107,372.774,0.788972,852.705,431.483,0.772938,852.608,468.733,0.746266,744.949,533.366,0.634338,739.119,645.039,0.322659,737.145,715.634,0.0549217,817.457,529.499,0.594714,807.718,641.151,0.295221,0.0,0.0,0.0,752.838,333.527,0.868591999999999,776.254,327.644,0.908744,739.125,323.725,0.398555999999999,793.962,317.842,0.782382999999999,0.3670318200795496,-0.12259004196179803,2.023235840658378,0.9301968684320491,0.4228584173109528,1.7180805989365113
12,2,835.094,339.418,0.928404999999999,840.97,384.462,0.8934300000000001,788.022,384.468,0.838348,762.564,447.129,0.800325,776.25,470.718,0.854973,899.768,384.426,0.879458,917.291,447.138,0.775202,907.568,488.304,0.787744999999999,803.711,525.597,0.628518,786.076,617.646,0.202253,0.0,0.0,0.0,872.276,527.495,0.6002000000000001,870.329,631.336,0.171845,0.0,0.0,0.0,821.381,327.65,0.9174059999999991,842.934,325.689,0.855127,807.634,319.916,0.355464,868.343,317.82,0.85091,0.3670318200795496,-0.12259004196179803,2.023235840658378,0.9301968684320491,0.4228584173109528,1.7180805989365113
13,2,858.603,339.477,0.880323,870.332,384.526,0.917914999999999,813.506,384.472,0.818691,788.017,445.274,0.840013,805.674,474.558,0.895814,931.013,384.563,0.848741,946.76,447.184,0.802129,935.002,490.208,0.792771999999999,825.331,525.567,0.597308,805.669,623.494,0.175855999999999,791.953,676.364,0.0671335,899.692,527.482,0.593708999999999,893.864,633.308,0.190944,0.0,0.0,0.0,850.742,327.677,0.8599,870.406,327.693,0.875553999999999,837.075,321.746,0.156246,899.633,321.731,0.900125,0.39119798260743976,-0.022758408441423794,1.9863606261923832,0.8274399963687671,0.5694488157341696,1.7134922657860943
14,2,868.382,339.464,0.9189700000000001,876.25,384.488,0.848707999999999,821.374,382.543,0.867939,790.068,441.288,0.840608999999999,805.627,468.747,0.884062999999999,933.098,386.46,0.827341,950.669,455.021,0.763985999999999,935.003,494.194,0.812785,829.217,531.404,0.562647,827.24,635.239,0.182195,0.0,0.0,0.0,899.754,537.293,0.62065,889.958,639.167,0.244753,887.98,715.592,0.062616999999999,854.742,325.761,0.892613999999999,882.057,331.537,0.862587,848.774,319.85,0.231015,901.806,321.817,0.824492,0.39119798260743976,-0.022758408441423794,1.9863606261923832,0.8274399963687671,0.5694488157341696,1.7134922657860943
15,2,868.415,341.392,0.895913,874.294,384.496,0.857132999999999,821.319,382.549,0.865734999999999,790.048,439.378,0.834321,805.701,470.653,0.885042999999999,933.048,386.474,0.826206,950.659,455.025,0.7228600000000001,934.993,492.285,0.751575,827.253,527.548,0.56028,821.348,633.256,0.123530999999999,0.0,0.0,0.0,899.658,533.401,0.5822200000000001,889.942,635.274,0.17316,0.0,0.0,0.0,854.768,329.599,0.873997999999999,882.089,331.596,0.87985,848.786,319.842,0.270762,903.639,321.754,0.865563,0.39395085560399745,0.02085098758892899,1.9682984589218615,0.811323063207255,0.5754375238186215,1.7122413249249533
